name,mbid,url,image,image_small
Drake,b49b81cc-d5b7-4bdd-aadb-385df8de69a6,https://www.last.fm/music/Drake,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Nick Drake,99ea432a-e3d8-42cb-9d5e-db316a6a8458,https://www.last.fm/music/Nick+Drake,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Darkest Hour,e0ededb4-6085-4f68-90f7-89bc560930a3,https://www.last.fm/music/Darkest+Hour,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
My Darkest Days,056bb0bc-6af7-4c25-bbfe-f96c6e6d9feb,https://www.last.fm/music/My+Darkest+Days,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
DRAKEO The Ruler,,https://www.last.fm/music/DRAKEO+The+Ruler,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Drake & Future,,https://www.last.fm/music/Drake+&+Future,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Drake Bell,094f10e7-27d5-400d-a145-331013e67229,https://www.last.fm/music/Drake+Bell,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Darkened Nocturn Slaughtercult,af0e9c6e-2b17-45c0-ae3e-f63910361264,https://www.last.fm/music/Darkened+Nocturn+Slaughtercult,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Drake & 21 Savage,,https://www.last.fm/music/Drake+&+21+Savage,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Darker My Love,15c5c0de-b8ff-49ab-8a58-506c89453f03,https://www.last.fm/music/Darker+My+Love,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Christopher Drake,3dfdda4d-603b-4131-b024-191c3e65efbe,https://www.last.fm/music/Christopher+Drake,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Molly Drake,96109681-8697-4007-8894-b9031bc818cc,https://www.last.fm/music/Molly+Drake,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Darke Complex,,https://www.last.fm/music/Darke+Complex,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Darkel,f5699bbd-3ceb-4c7f-97ff-66e1cb7290b2,https://www.last.fm/music/Darkel,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
DarkeSword,40ff8f06-f160-4841-b9ae-f4c6cac998f1,https://www.last.fm/music/DarkeSword,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Drake White,3450511f-aea9-40cd-9618-d26ca7495842,https://www.last.fm/music/Drake+White,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Drake King,,https://www.last.fm/music/Drake+King,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Darkestrah,024250e8-5a01-45d0-8418-e0e24fce26af,https://www.last.fm/music/Darkestrah,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
jamie drake,5c73a963-cc95-4c8b-869c-e0d0d8fb70c9,https://www.last.fm/music/jamie+drake,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
The Darkest of The Hillside Thickets,c6f2b681-b621-4072-9c9c-176a686314ac,https://www.last.fm/music/The+Darkest+of+The+Hillside+Thickets,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Pete Drake,6f64e3ec-2f83-4473-ba9b-3b5b76fc2e94,https://www.last.fm/music/Pete+Drake,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Drake feat. Kanye West, Lil Wayne & Eminem",9fff2f8a-21e6-47de-a2b8-7f449929d43f,"https://www.last.fm/music/Drake+feat.+Kanye+West,+Lil+Wayne+&+Eminem",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Eleni Drake,,https://www.last.fm/music/Eleni+Drake,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Nicki Minaj, Drake & Lil Wayne",,"https://www.last.fm/music/Nicki+Minaj,+Drake+&+Lil+Wayne",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Drake, 21 Savage",,"https://www.last.fm/music/Drake,+21+Savage",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Drake & Yebba,,https://www.last.fm/music/Drake+&+Yebba,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Drake, Future",,"https://www.last.fm/music/Drake,+Future",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Darkenhöld,b9d357b7-cbe8-43ac-87dd-7d602028fedb,https://www.last.fm/music/Darkenh%C3%B6ld,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Drake & GIVĒON,,https://www.last.fm/music/Drake+&+GIV%C4%92ON,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Darkest Era,9c7f2f50-574b-41f8-9a0f-1d22451df5e3,https://www.last.fm/music/Darkest+Era,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png